DriveID,DriveLabel,Path,Depth,Type,Name,Subdirs,Files,ItemCount,FileTypes,Size,SizeUnit
36957FA5,Mommy,E:\RGBCaptureM4E_Orthomosaic_MonFeb09174517859276,1,File,RGBCaptureM4E_ortho_MonFeb09174517859276.tif.ovr,,,,>=2GB,2.71,GB
36957FA5,Mommy,E:\RGBCaptureM4E_Orthomosaic_MonFeb09174517859276,1,Folder,RGBCaptureM4E_Orthomosaic_MonFeb09174517859276,0,3,3,kml:1; tfw:1; xml:1,0.01,MB
36957FA5,Mommy,E:\Dallas1,1,File,Dallas1.tif,,,,>=2GB,106.46,GB
36957FA5,Mommy,E:\Dallas1,1,Folder,Dallas1,0,1,1,xml:1,0.01,MB
36957FA5,Mommy,E:\QS_Portland_Oregon6_7_FlatReprocessing,1,Folder,QS_Portland_Oregon6_7_FlatReprocessing,6,3,3,atbx:1; xml:1; aprx:1,0.03,MB
36957FA5,Mommy,E:\QS_Portland_Oregon6_7_FlatReprocessing\.backups,2,Folder,.backups,0,1,1,aprx:1,0.04,MB
36957FA5,Mommy,E:\QS_Portland_Oregon6_7_FlatReprocessing\CommercialRGB,2,Folder,CommercialRGB,0,8,8,cpg:1; dbf:1; prj:1; sbn:1; sbx:1; shp:1; xml:1; shx:1,0.43,MB
36957FA5,Mommy,E:\QS_Portland_Oregon6_7_FlatReprocessing\Default.gdb,2,Folder,Default.gdb,0,87,87,atx:24; gdbtable:14; gdbtablx:14; gdbindexes:13; lock:7; horizon:6; spx:6; noext:2; other:1,1.06,MB
36957FA5,Mommy,E:\QS_Portland_Oregon6_7_FlatReprocessing\FlatFootprints,2,Folder,FlatFootprints,0,8,8,cpg:1; dbf:1; prj:1; sbn:1; sbx:1; shp:1; xml:1; shx:1,1.1,MB
36957FA5,Mommy,E:\QS_Portland_Oregon6_7_FlatReprocessing\GpMessages,2,Folder,GpMessages,0,8,8,noext:8,0.0,MB
36957FA5,Mommy,E:\QS_Portland_Oregon6_7_FlatReprocessing\Index,2,Folder,Index,3,0,0,,0.0,MB
36957FA5,Mommy,E:\QS_Portland_Oregon6_7_FlatReprocessing\Index\QS_Portland_Oregon6_7_Score_index,3,Folder,QS_Portland_Oregon6_7_Score_index,0,0,0,,0.0,MB
36957FA5,Mommy,E:\QS_Portland_Oregon6_7_FlatReprocessing\Index\Untitled_index,3,Folder,Untitled_index,0,0,0,,0.0,MB
36957FA5,Mommy,E:\QS_Portland_Oregon6_7_FlatReprocessing\Index\QS_Portland_Oregon6_7_Flatreprocessing_index,3,Folder,QS_Portland_Oregon6_7_Flatreprocessing_index,0,0,0,,0.0,MB
36957FA5,Mommy,E:\QS_Portland_Oregon9_11_FlatReprocessing,1,Folder,QS_Portland_Oregon9_11_FlatReprocessing,6,3,3,atbx:1; aprx:1; xml:1,0.05,MB
36957FA5,Mommy,E:\QS_Portland_Oregon9_11_FlatReprocessing\.backups,2,Folder,.backups,0,0,0,,0.0,MB
